NEON Imaging Spectrometer (NIS) instrument specifications,,,,
Band,BandCent,BCentNM,FWHM,FWHMnm
1,0.38227,382.27,0.00577,5.77
2,0.38728,387.28,0.00577,5.77
3,0.39229,392.29,0.00576,5.76
4,0.3973,397.3,0.00576,5.76
5,0.40231,402.31,0.00575,5.75
6,0.40732,407.32,0.00575,5.75
7,0.41233,412.33,0.00575,5.75
8,0.41734,417.34,0.00574,5.74
9,0.42235,422.35,0.00574,5.74
10,0.42735,427.35,0.00573,5.73
11,0.43236,432.36,0.00573,5.73
12,0.43737,437.37,0.00572,5.72
13,0.44238,442.38,0.00572,5.72
14,0.44739,447.39,0.00571,5.71
15,0.4524,452.4,0.00571,5.71
16,0.45741,457.41,0.0057,5.7
17,0.46242,462.42,0.0057,5.7
18,0.46743,467.43,0.00569,5.69
19,0.47244,472.44,0.00569,5.69
20,0.47745,477.45,0.00569,5.69
21,0.48246,482.46,0.00568,5.68
22,0.48747,487.47,0.00568,5.68
23,0.49248,492.48,0.00568,5.68
24,0.49749,497.49,0.00567,5.67
25,0.50249,502.49,0.00567,5.67
26,0.5075,507.5,0.00566,5.66
27,0.51251,512.51,0.00566,5.66
28,0.51752,517.52,0.00565,5.65
29,0.52253,522.53,0.00565,5.65
30,0.52754,527.54,0.00565,5.65
31,0.53255,532.55,0.00564,5.64
32,0.53756,537.56,0.00564,5.64
33,0.54257,542.57,0.00564,5.64
34,0.54758,547.58,0.00563,5.63
35,0.55259,552.59,0.00563,5.63
36,0.5576,557.6,0.00563,5.63
37,0.56261,562.61,0.00562,5.62
38,0.56762,567.62,0.00562,5.62
39,0.57263,572.63,0.00562,5.62
40,0.57763,577.63,0.00561,5.61
41,0.58264,582.64,0.00561,5.61
42,0.58765,587.65,0.00561,5.61
43,0.59266,592.66,0.0056,5.6
44,0.59767,597.67,0.0056,5.6
45,0.60268,602.68,0.0056,5.6
46,0.60769,607.69,0.00559,5.59
47,0.6127,612.7,0.00559,5.59
48,0.61771,617.71,0.00559,5.59
49,0.62272,622.72,0.00559,5.59
50,0.62773,627.73,0.00558,5.58
51,0.63274,632.74,0.00558,5.58
52,0.63775,637.75,0.00558,5.58
53,0.64276,642.76,0.00558,5.58
54,0.64776,647.76,0.00557,5.57
55,0.65277,652.77,0.00557,5.57
56,0.65778,657.78,0.00557,5.57
57,0.66279,662.79,0.00557,5.57
58,0.6678,667.8,0.00556,5.56
59,0.67281,672.81,0.00556,5.56
60,0.67782,677.82,0.00556,5.56
61,0.68283,682.83,0.00556,5.56
62,0.68784,687.84,0.00555,5.55
63,0.69285,692.85,0.00555,5.55
64,0.69786,697.86,0.00555,5.55
65,0.70287,702.87,0.00555,5.55
66,0.70788,707.88,0.00555,5.55
67,0.71289,712.89,0.00554,5.54
68,0.7179,717.9,0.00554,5.54
69,0.72291,722.91,0.00554,5.54
70,0.72791,727.91,0.00554,5.54
71,0.73292,732.92,0.00554,5.54
72,0.73793,737.93,0.00553,5.53
73,0.74294,742.94,0.00553,5.53
74,0.74795,747.95,0.00553,5.53
75,0.75296,752.96,0.00553,5.53
76,0.75797,757.97,0.00553,5.53
77,0.76298,762.98,0.00553,5.53
78,0.76799,767.99,0.00552,5.52
79,0.773,773,0.00552,5.52
80,0.77801,778.01,0.00552,5.52
81,0.78302,783.02,0.00552,5.52
82,0.78803,788.03,0.00552,5.52
83,0.79304,793.04,0.00552,5.52
84,0.79804,798.04,0.00551,5.51
85,0.80305,803.05,0.00551,5.51
86,0.80806,808.06,0.00551,5.51
87,0.81307,813.07,0.00551,5.51
88,0.81808,818.08,0.00551,5.51
89,0.82309,823.09,0.00551,5.51
90,0.8281,828.1,0.00551,5.51
91,0.83311,833.11,0.00551,5.51
92,0.83812,838.12,0.00551,5.51
93,0.84313,843.13,0.0055,5.5
94,0.84814,848.14,0.0055,5.5
95,0.85315,853.15,0.0055,5.5
96,0.85816,858.16,0.0055,5.5
97,0.86317,863.17,0.0055,5.5
98,0.86818,868.18,0.0055,5.5
99,0.87318,873.18,0.0055,5.5
100,0.87819,878.19,0.0055,5.5
101,0.8832,883.2,0.0055,5.5
102,0.88821,888.21,0.0055,5.5
103,0.89322,893.22,0.0055,5.5
104,0.89823,898.23,0.0055,5.5
105,0.90324,903.24,0.00549,5.49
106,0.90825,908.25,0.00549,5.49
107,0.91326,913.26,0.00549,5.49
108,0.91827,918.27,0.00549,5.49
109,0.92328,923.28,0.00549,5.49
110,0.92829,928.29,0.00549,5.49
111,0.9333,933.3,0.00549,5.49
112,0.93831,938.31,0.00549,5.49
113,0.94332,943.32,0.00549,5.49
114,0.94832,948.32,0.00549,5.49
115,0.95333,953.33,0.00549,5.49
116,0.95834,958.34,0.00549,5.49
117,0.96335,963.35,0.00549,5.49
118,0.96836,968.36,0.00549,5.49
119,0.97337,973.37,0.00549,5.49
120,0.97838,978.38,0.00549,5.49
121,0.98339,983.39,0.00549,5.49
122,0.9884,988.4,0.00549,5.49
123,0.99341,993.41,0.00549,5.49
124,0.99842,998.42,0.00549,5.49
125,1.00343,1003.43,0.00549,5.49
126,1.00844,1008.44,0.00549,5.49
127,1.01345,1013.45,0.00549,5.49
128,1.01846,1018.46,0.00549,5.49
129,1.02347,1023.47,0.00549,5.49
130,1.02848,1028.48,0.00549,5.49
131,1.03348,1033.48,0.00549,5.49
132,1.03849,1038.49,0.00549,5.49
133,1.0435,1043.5,0.00549,5.49
134,1.04851,1048.51,0.00549,5.49
135,1.05352,1053.52,0.00549,5.49
136,1.05853,1058.53,0.00549,5.49
137,1.06354,1063.54,0.00549,5.49
138,1.06855,1068.55,0.00549,5.49
139,1.07356,1073.56,0.00549,5.49
140,1.07857,1078.57,0.00549,5.49
141,1.08358,1083.58,0.00549,5.49
142,1.08859,1088.59,0.00549,5.49
143,1.0936,1093.6,0.00549,5.49
144,1.09861,1098.61,0.00549,5.49
145,1.10362,1103.62,0.00549,5.49
146,1.10863,1108.63,0.00549,5.49
147,1.11363,1113.63,0.00549,5.49
148,1.11864,1118.64,0.00549,5.49
149,1.12365,1123.65,0.00549,5.49
150,1.12866,1128.66,0.0055,5.5
151,1.13367,1133.67,0.0055,5.5
152,1.13868,1138.68,0.0055,5.5
153,1.14369,1143.69,0.0055,5.5
154,1.1487,1148.7,0.0055,5.5
155,1.15371,1153.71,0.0055,5.5
156,1.15872,1158.72,0.0055,5.5
157,1.16373,1163.73,0.0055,5.5
158,1.16874,1168.74,0.0055,5.5
159,1.17375,1173.75,0.0055,5.5
160,1.17876,1178.76,0.0055,5.5
161,1.18376,1183.76,0.0055,5.5
162,1.18877,1188.77,0.0055,5.5
163,1.19378,1193.78,0.0055,5.5
164,1.19879,1198.79,0.0055,5.5
165,1.2038,1203.8,0.00551,5.51
166,1.20881,1208.81,0.00551,5.51
167,1.21382,1213.82,0.00551,5.51
168,1.21883,1218.83,0.00551,5.51
169,1.22384,1223.84,0.00551,5.51
170,1.22885,1228.85,0.00551,5.51
171,1.23386,1233.86,0.00551,5.51
172,1.23887,1238.87,0.00551,5.51
173,1.24388,1243.88,0.00551,5.51
174,1.24889,1248.89,0.00551,5.51
175,1.2539,1253.9,0.00552,5.52
176,1.2589,1258.9,0.00552,5.52
177,1.26391,1263.91,0.00552,5.52
178,1.26892,1268.92,0.00552,5.52
179,1.27393,1273.93,0.00552,5.52
180,1.27894,1278.94,0.00552,5.52
181,1.28395,1283.95,0.00552,5.52
182,1.28896,1288.96,0.00552,5.52
183,1.29397,1293.97,0.00552,5.52
184,1.29898,1298.98,0.00553,5.53
185,1.30399,1303.99,0.00553,5.53
186,1.309,1309,0.00553,5.53
187,1.31401,1314.01,0.00553,5.53
188,1.31902,1319.02,0.00553,5.53
189,1.32403,1324.03,0.00553,5.53
190,1.32903,1329.03,0.00553,5.53
191,1.33404,1334.04,0.00554,5.54
192,1.33905,1339.05,0.00554,5.54
193,1.34406,1344.06,0.00554,5.54
194,1.34907,1349.07,0.00554,5.54
195,1.35408,1354.08,0.00554,5.54
196,1.35909,1359.09,0.00554,5.54
197,1.3641,1364.1,0.00554,5.54
198,1.36911,1369.11,0.00554,5.54
199,1.37412,1374.12,0.00555,5.55
200,1.37913,1379.13,0.00555,5.55
201,1.38414,1384.14,0.00555,5.55
202,1.38915,1389.15,0.00555,5.55
203,1.39416,1394.16,0.00555,5.55
204,1.39917,1399.17,0.00555,5.55
205,1.40418,1404.18,0.00555,5.55
206,1.40918,1409.18,0.00556,5.56
207,1.41419,1414.19,0.00556,5.56
208,1.4192,1419.2,0.00556,5.56
209,1.42421,1424.21,0.00556,5.56
210,1.42922,1429.22,0.00556,5.56
211,1.43423,1434.23,0.00556,5.56
212,1.43924,1439.24,0.00557,5.57
213,1.44425,1444.25,0.00557,5.57
214,1.44926,1449.26,0.00557,5.57
215,1.45427,1454.27,0.00557,5.57
216,1.45928,1459.28,0.00557,5.57
217,1.46429,1464.29,0.00557,5.57
218,1.4693,1469.3,0.00557,5.57
219,1.47431,1474.31,0.00558,5.58
220,1.47932,1479.32,0.00558,5.58
221,1.48432,1484.32,0.00558,5.58
222,1.48933,1489.33,0.00558,5.58
223,1.49434,1494.34,0.00558,5.58
224,1.49935,1499.35,0.00558,5.58
225,1.50436,1504.36,0.00558,5.58
226,1.50937,1509.37,0.00559,5.59
227,1.51438,1514.38,0.00559,5.59
228,1.51939,1519.39,0.00559,5.59
229,1.5244,1524.4,0.00559,5.59
230,1.52941,1529.41,0.00559,5.59
231,1.53442,1534.42,0.00559,5.59
232,1.53943,1539.43,0.0056,5.6
233,1.54444,1544.44,0.0056,5.6
234,1.54945,1549.45,0.0056,5.6
235,1.55446,1554.46,0.0056,5.6
236,1.55947,1559.47,0.0056,5.6
237,1.56448,1564.48,0.00561,5.61
238,1.56948,1569.48,0.00561,5.61
239,1.57449,1574.49,0.00561,5.61
240,1.5795,1579.5,0.00561,5.61
241,1.58451,1584.51,0.00561,5.61
242,1.58952,1589.52,0.00561,5.61
243,1.59453,1594.53,0.00562,5.62
244,1.59954,1599.54,0.00562,5.62
245,1.60455,1604.55,0.00562,5.62
246,1.60956,1609.56,0.00562,5.62
247,1.61457,1614.57,0.00562,5.62
248,1.61958,1619.58,0.00562,5.62
249,1.62459,1624.59,0.00563,5.63
250,1.6296,1629.6,0.00563,5.63
251,1.6346,1634.6,0.00563,5.63
252,1.63961,1639.61,0.00563,5.63
253,1.64462,1644.62,0.00563,5.63
254,1.64963,1649.63,0.00563,5.63
255,1.65464,1654.64,0.00564,5.64
256,1.65965,1659.65,0.00564,5.64
257,1.66466,1664.66,0.00564,5.64
258,1.66967,1669.67,0.00564,5.64
259,1.67468,1674.68,0.00564,5.64
260,1.67969,1679.69,0.00564,5.64
261,1.6847,1684.7,0.00565,5.65
262,1.68971,1689.71,0.00565,5.65
263,1.69472,1694.72,0.00565,5.65
264,1.69973,1699.73,0.00565,5.65
265,1.70474,1704.74,0.00565,5.65
266,1.70974,1709.74,0.00565,5.65
267,1.71475,1714.75,0.00566,5.66
268,1.71976,1719.76,0.00566,5.66
269,1.72477,1724.77,0.00566,5.66
270,1.72978,1729.78,0.00566,5.66
271,1.73479,1734.79,0.00566,5.66
272,1.7398,1739.8,0.00567,5.67
273,1.74481,1744.81,0.00567,5.67
274,1.74982,1749.82,0.00567,5.67
275,1.75483,1754.83,0.00567,5.67
276,1.75984,1759.84,0.00567,5.67
277,1.76485,1764.85,0.00567,5.67
278,1.76986,1769.86,0.00568,5.68
279,1.77487,1774.87,0.00568,5.68
280,1.77988,1779.88,0.00568,5.68
281,1.78488,1784.88,0.00568,5.68
282,1.78989,1789.89,0.00568,5.68
283,1.7949,1794.9,0.00568,5.68
284,1.79991,1799.91,0.00568,5.68
285,1.80492,1804.92,0.00569,5.69
286,1.80993,1809.93,0.00569,5.69
287,1.81494,1814.94,0.00569,5.69
288,1.81995,1819.95,0.00569,5.69
289,1.82496,1824.96,0.00569,5.69
290,1.82997,1829.97,0.00569,5.69
291,1.83498,1834.98,0.00569,5.69
292,1.83999,1839.99,0.0057,5.7
293,1.845,1845,0.0057,5.7
294,1.85001,1850.01,0.0057,5.7
295,1.85501,1855.01,0.0057,5.7
296,1.86002,1860.02,0.0057,5.7
297,1.86503,1865.03,0.0057,5.7
298,1.87004,1870.04,0.00571,5.71
299,1.87505,1875.05,0.00571,5.71
300,1.88006,1880.06,0.00571,5.71
301,1.88507,1885.07,0.00571,5.71
302,1.89008,1890.08,0.00571,5.71
303,1.89509,1895.09,0.00571,5.71
304,1.9001,1900.1,0.00571,5.71
305,1.90511,1905.11,0.00572,5.72
306,1.91012,1910.12,0.00572,5.72
307,1.91513,1915.13,0.00572,5.72
308,1.92014,1920.14,0.00572,5.72
309,1.92515,1925.15,0.00572,5.72
310,1.93015,1930.15,0.00572,5.72
311,1.93516,1935.16,0.00572,5.72
312,1.94017,1940.17,0.00573,5.73
313,1.94518,1945.18,0.00573,5.73
314,1.95019,1950.19,0.00573,5.73
315,1.9552,1955.2,0.00573,5.73
316,1.96021,1960.21,0.00573,5.73
317,1.96522,1965.22,0.00573,5.73
318,1.97023,1970.23,0.00573,5.73
319,1.97524,1975.24,0.00574,5.74
320,1.98025,1980.25,0.00574,5.74
321,1.98526,1985.26,0.00574,5.74
322,1.99027,1990.27,0.00574,5.74
323,1.99528,1995.28,0.00574,5.74
324,2.00029,2000.29,0.00574,5.74
325,2.0053,2005.3,0.00574,5.74
326,2.0103,2010.3,0.00574,5.74
327,2.01531,2015.31,0.00574,5.74
328,2.02032,2020.32,0.00575,5.75
329,2.02533,2025.33,0.00575,5.75
330,2.03034,2030.34,0.00575,5.75
331,2.03535,2035.35,0.00575,5.75
332,2.04036,2040.36,0.00575,5.75
333,2.04537,2045.37,0.00575,5.75
334,2.05038,2050.38,0.00575,5.75
335,2.05539,2055.39,0.00575,5.75
336,2.0604,2060.4,0.00575,5.75
337,2.06541,2065.41,0.00575,5.75
338,2.07042,2070.42,0.00575,5.75
339,2.07542,2075.42,0.00576,5.76
340,2.08044,2080.44,0.00576,5.76
341,2.08544,2085.44,0.00576,5.76
342,2.09045,2090.45,0.00576,5.76
343,2.09546,2095.46,0.00576,5.76
344,2.10047,2100.47,0.00576,5.76
345,2.10548,2105.48,0.00576,5.76
346,2.11049,2110.49,0.00576,5.76
347,2.1155,2115.5,0.00576,5.76
348,2.12051,2120.51,0.00576,5.76
349,2.12552,2125.52,0.00576,5.76
350,2.13053,2130.53,0.00576,5.76
351,2.13554,2135.54,0.00576,5.76
352,2.14055,2140.55,0.00576,5.76
353,2.14556,2145.56,0.00577,5.77
354,2.15057,2150.57,0.00577,5.77
355,2.15558,2155.58,0.00577,5.77
356,2.16058,2160.58,0.00577,5.77
357,2.16559,2165.59,0.00577,5.77
358,2.1706,2170.6,0.00577,5.77
359,2.17561,2175.61,0.00577,5.77
360,2.18062,2180.62,0.00577,5.77
361,2.18563,2185.63,0.00577,5.77
362,2.19064,2190.64,0.00577,5.77
363,2.19565,2195.65,0.00577,5.77
364,2.20066,2200.66,0.00577,5.77
365,2.20567,2205.67,0.00577,5.77
366,2.21068,2210.68,0.00577,5.77
367,2.21569,2215.69,0.00577,5.77
368,2.2207,2220.7,0.00577,5.77
369,2.2257,2225.7,0.00577,5.77
370,2.23072,2230.72,0.00577,5.77
371,2.23572,2235.72,0.00577,5.77
372,2.24073,2240.73,0.00577,5.77
373,2.24574,2245.74,0.00577,5.77
374,2.25075,2250.75,0.00577,5.77
375,2.25576,2255.76,0.00577,5.77
376,2.26077,2260.77,0.00577,5.77
377,2.26578,2265.78,0.00577,5.77
378,2.27079,2270.79,0.00577,5.77
379,2.2758,2275.8,0.00577,5.77
380,2.28081,2280.81,0.00577,5.77
381,2.28582,2285.82,0.00577,5.77
382,2.29083,2290.83,0.00577,5.77
383,2.29584,2295.84,0.00577,5.77
384,2.30084,2300.84,0.00577,5.77
385,2.30586,2305.86,0.00577,5.77
386,2.31086,2310.86,0.00577,5.77
387,2.31587,2315.87,0.00577,5.77
388,2.32088,2320.88,0.00577,5.77
389,2.32589,2325.89,0.00577,5.77
390,2.3309,2330.9,0.00577,5.77
391,2.33591,2335.91,0.00577,5.77
392,2.34092,2340.92,0.00577,5.77
393,2.34593,2345.93,0.00577,5.77
394,2.35094,2350.94,0.00577,5.77
395,2.35595,2355.95,0.00577,5.77
396,2.36096,2360.96,0.00577,5.77
397,2.36597,2365.97,0.00577,5.77
398,2.37098,2370.98,0.00577,5.77
399,2.37599,2375.99,0.00577,5.77
400,2.381,2381,0.00577,5.77
401,2.386,2386,0.00576,5.76
402,2.39101,2391.01,0.00576,5.76
403,2.39602,2396.02,0.00576,5.76
404,2.40103,2401.03,0.00576,5.76
405,2.40604,2406.04,0.00576,5.76
406,2.41105,2411.05,0.00576,5.76
407,2.41606,2416.06,0.00576,5.76
408,2.42107,2421.07,0.00576,5.76
409,2.42608,2426.08,0.00576,5.76
410,2.43109,2431.09,0.00576,5.76
411,2.4361,2436.1,0.00576,5.76
412,2.44111,2441.11,0.00575,5.75
413,2.44612,2446.12,0.00575,5.75
414,2.45112,2451.12,0.00575,5.75
415,2.45614,2456.14,0.00575,5.75
416,2.46114,2461.14,0.00575,5.75
417,2.46615,2466.15,0.00575,5.75
418,2.47116,2471.16,0.00575,5.75
419,2.47617,2476.17,0.00575,5.75
420,2.48118,2481.18,0.00575,5.75
421,2.48619,2486.19,0.00574,5.74
422,2.4912,2491.2,0.00574,5.74
423,2.49621,2496.21,0.00574,5.74
424,2.50122,2501.22,0.00574,5.74
425,2.50623,2506.23,0.00574,5.74
426,2.51124,2511.24,0.00574,5.74
